<----Clip Here for Data----->
HGNC ID	Approved Name	Aliases	Name Aliases	Pubmed IDs
32972	ATP-binding cassette, sub-family A (ABC1), member 17 (pseudogene)			16968533
40	ATP-binding cassette, sub-family B (MDR/TAP), member 1	P-gp, CD243, GP170, ABC20		3027054
45	ATP-binding cassette, sub-family B (MDR/TAP), member 4	MDR2, PFIC-3, GBD1		2892668, 11313316
46	ATP-binding cassette, sub-family B (MDR/TAP), member 5	EST422562, ABCB5beta, ABCB5alpha	"P-glycoprotein ABCB5", "ATP-binding cassette protein"	8894702, 12960149
47	ATP-binding cassette, sub-family B (MDR/TAP), member 6	EST45597, umat, MTABC3	"ATP-binding cassette half-transporter"	8894702, 9110174
48	ATP-binding cassette, sub-family B (MDR/TAP), member 7	EST140535, Atm1p, ASAT		9143506
49	ATP-binding cassette, sub-family B (MDR/TAP), member 8	EST328128, M-ABC1, MABC1	"mitochondrial ABC protein"	8894702
50	ATP-binding cassette, sub-family B (MDR/TAP), member 9	EST122234		8894702
41	ATP-binding cassette, sub-family B (MDR/TAP), member 10	EST20237, M-ABC2, MTABC2	"ATP-binding cassette sub-family B member 10, mitochondrial", "ATP-binding cassette transporter 10", "ABC transporter 10 protein", "mitochondrial ATP-binding cassette 2"	7766993
14114	ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 1	M-ABC2, MABC2		7766993, 10922475
42	ATP-binding cassette, sub-family B (MDR/TAP), member 11	ABC16, SPGP, PFIC-2, PGY4	"ABC member 16, MDR/TAP subfamily"	9806540
51	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	GS-X		8098549, 1360704
53	ATP-binding cassette, sub-family C (CFTR/MRP), member 2	DJS, MRP2, cMRP		8797578, 9284939
54	ATP-binding cassette, sub-family C (CFTR/MRP), member 3	MRP3, cMOAT2, EST90757, MLP2, MOAT-D		8894702, 9827529
55	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	MRP4, EST170205, MOAT-B, MOATB	"canalicular multispecific organic anion transporter (ABC superfamily)", "bA464I2.1 (ATP-binding cassette, sub-family C (CFTR/MRP), member 4)", "multidrug resistance-associated protein 4", "multispecific organic anion transporter B"	8894702, 9661885
56	ATP-binding cassette, sub-family C (CFTR/MRP), member 5	MRP5, SMRP, EST277145, MOAT-C		8894702, 9827529
57	ATP-binding cassette, sub-family C (CFTR/MRP), member 6	MRP6, EST349056, MLP1, URG7		9721217, 11439001
33352	ATP-binding cassette, sub-family C, member 6 pseudogene 1			
33353	ATP-binding cassette, sub-family C, member 6 pseudogene 2			
59	ATP-binding cassette, sub-family C (CFTR/MRP), member 8	HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2	"sulfonylurea receptor (hyperinsulinemia)"	7920639, 7716548
60	ATP-binding cassette, sub-family C (CFTR/MRP), member 9	SUR2, CMD1O		9457174, 15034580
52	ATP-binding cassette, sub-family C (CFTR/MRP), member 10	EST182763, MRP7, SIMRP7		8894702
14639	ATP-binding cassette, sub-family C (CFTR/MRP), member 11	MRP8		11483364, 11435397
14640	ATP-binding cassette, sub-family C (CFTR/MRP), member 12	MRP9		11435397, 11483364
16022	ATP-binding cassette, sub-family C (CFTR/MRP), member 13	PRED6, C21orf73		
61	ATP-binding cassette, sub-family D (ALD), member 1	AMN, ALDP, adrenoleukodystrophy		8441467, 6795626
62	ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 1			8829626, 9215666
63	ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 2	bA453N3.6		9215666
64	ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 3			9215666
65	ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 4			9215666, 10591208
66	ATP-binding cassette, sub-family D (ALD), member 2	ALDR, ALDRP		8577752
67	ATP-binding cassette, sub-family D (ALD), member 3	PMP70		1301993, 8449508
68	ATP-binding cassette, sub-family D (ALD), member 4	PMP69, P70R, EST352188		9266848, 9302272
69	ATP-binding cassette, sub-family E (OABP), member 1	RLI, OABP		7539425
70	ATP-binding cassette, sub-family F (GCN20), member 1	EST123147		9790762
71	ATP-binding cassette, sub-family F (GCN20), member 2	EST133090, ABC28, M-ABC1, HUSSY-18		8894702
72	ATP-binding cassette, sub-family F (GCN20), member 3	EST201864		8894702
73	ATP-binding cassette, sub-family G (WHITE), member 1	ABC8	"ATP-binding cassette transporter 8"	8659545, 16870176
74	ATP-binding cassette, sub-family G (WHITE), member 2	EST157481, MXR, BCRP, ABCP, CD338		8894702, 9861027
13884	ATP-binding cassette, sub-family G (WHITE), member 4	WHITE2	"putative ABC transporter", "ATP-binding cassette, subfamily G, member 4"	11435397
13886	ATP-binding cassette, sub-family G (WHITE), member 5	STSL	"sterolin 1"	11099417, 11452359
13887	ATP-binding cassette, sub-family G (WHITE), member 8	GBD4	"gallbladder disease 4", "sterolin 2"	11099417, 17626266
17553	abhydrolase domain containing 1	LABH1, FLJ36128		11922611
18717	abhydrolase domain containing 2	LABH2		
18718	abhydrolase domain containing 3	LABH3		
20154	abhydrolase domain containing 4	FLJ12816		
21396	abhydrolase domain containing 5	CGI-58, NCIE2		11590543, 18606822
21398	abhydrolase domain containing 6			
23759	abhydrolase domain containing 8	FLJ11743, MGC14280, MGC2512		12477932
25656	abhydrolase domain containing 10	FLJ11342		12477932
16407	abhydrolase domain containing 11	PP1226		12073013
15868	abhydrolase domain containing 12	DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A		
19837	abhydrolase domain containing 12B	BEM46L3		
20293	abhydrolase domain containing 13	bA153I24.2, FLJ14906, BEM46L1		
24538	abhydrolase domain containing 14A	DKFZP564O243, DORZ1		
28235	abhydrolase domain containing 14B	MGC15429, CIB		
26971	abhydrolase domain containing 15			12975309
11320	abl-interactor 1	E3B1, ABI-1		9593709, 9010225
20035	abl-interactor 1 pseudogene			
24011	abl-interactor 2	ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2		7590236, 10964520
29859	ABI family, member 3	NESH, SSH3BP3		10978530, 11956071
17265	ABI family, member 3 (NESH) binding protein	NESHBP, DKFZP586L2024, TARSH		11501947
76	c-abl oncogene 1, receptor tyrosine kinase	JTK7, c-ABL, p150		1857987
77	v-abl Abelson murine leukemia viral oncogene homolog 2 (arg, Abelson-related gene)	ARG		3787260
78	actin binding LIM protein 1	abLIM, limatin		9245787
19195	actin binding LIM protein family, member 2	KIAA1808		
29132	actin binding LIM protein family, member 3	KIAA0843		
79	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)	A3GALNT, A3GALT1		184030
80	amiloride binding protein 1 (amine oxidase (copper-containing))	AOC1, DAO		8182053
81	active BCR-related gene	MDB		2587217, 7479768
30655	actin-binding Rho activating protein	STARS		11983702
17369	activator of basal transcription 1			10648625
18275	ankyrin repeat and BTB (POZ) domain containing 1	BPOZ, EF1ABP, Btb3		10891360, 11494141
23842	ankyrin repeat and BTB (POZ) domain containing 2	DKFZP586C1619		
82	acetyl-Coenzyme A acyltransferase 1		"peroxisomal 3-oxoacyl-Coenzyme A thiolase"	
83	acetyl-Coenzyme A acyltransferase 2	DSAEC	"mitochondrial 3-oxoacyl-Coenzyme A thiolase"	8241273
84	acetyl-Coenzyme A carboxylase alpha	ACC1		
85	acetyl-Coenzyme A carboxylase beta	HACC275, ACC2, ACCB		8670171
87	acyl-Coenzyme A dehydrogenase family, member 8			10524212
21497	acyl-Coenzyme A dehydrogenase family, member 9	NPD002, MGC14452		12359260
21597	acyl-Coenzyme A dehydrogenase family, member 10	MGC5601		15560374
30211	acyl-Coenzyme A dehydrogenase family, member 11	FLJ12592		
88	acyl-Coenzyme A dehydrogenase, long chain	LCAD, ACAD4		1774065
89	acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain	MCAD, MCADH, ACAD1		3035565
90	acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain	SCAD, ACAD3		2565344
91	acyl-Coenzyme A dehydrogenase, short/branched chain	SBCAD, ACAD7		7698750, 7759115
92	acyl-Coenzyme A dehydrogenase, very long chain	VLCAD, LCACD, ACAD6		8921384
319	aggrecan	CSPGCP	"aggrecan proteoglycan"	1985970
16467	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	KIAA0050		11050434, 11062263
16469	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	KIAA0041, CNT-B2		11050434, 11062263
16754	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	KIAA1716		
93	acetyl-Coenzyme A acetyltransferase 1	THIL	"acetoacetyl Coenzyme A thiolase"	1979337
94	acetyl-Coenzyme A acetyltransferase 2		"acetoacetyl Coenzyme A thiolase"	2475872
15453	acyl-Coenzyme A binding domain containing 3	GCP60		
23337	acyl-Coenzyme A binding domain containing 4	FLJ13322		
23338	acyl-Coenzyme A binding domain containing 5	DKFZp434A2417, KIAA1996		12056414
23339	acyl-Coenzyme A binding domain containing 6	MGC2404		12477932
17715	acyl-Coenzyme A binding domain containing 7	FLJ38219, bA455B2.2		
99	amiloride-sensitive cation channel 1, neuronal	ASIC2a, ASIC2, BNC1, BNaC1, hBNaC1, MDEG	"degenerin"	8921408
100	amiloride-sensitive cation channel 2, neuronal	BNaC2, hBNaC2, ASIC1		9037075
101	amiloride-sensitive cation channel 3	TNaC1, ASIC3	"testis sodium channel 1"	9571199, 9744806
21263	amiloride-sensitive cation channel 4, pituitary	ASIC4, BNAC4		10852210
17537	amiloride-sensitive cation channel 5, intestinal	INAC, HINAC		10767424
23989	1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)	PHACS, ACS		11470512
34391	1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)-like			
25070	adrenocortical dysplasia homolog (mouse)	Ptop, Pip1, Tpp1, Tint1	"TIN2 interacting protein 1", "POT1 and TIN2 organizing protein"	15231715, 15181449
2707	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1	ACE1, CD143		2554286, 10319862
13557	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2			10969042
18356	alkaline ceramidase 1			12783875
23675	alkaline ceramidase 2	FLJ41587		18945876
16066	alkaline ceramidase 3	FLJ11238, APHC	"alkaline phytoceramidase"	11356846, 18619555
108	acetylcholinesterase (Yt blood group)			1380483
109	achromatopsia (rod monochromacy) 1			1347967
17066	apoptotic chromatin condensation inducer 1	KIAA0670, fSAP152	"functional spliceosome-associated protein 152"	9734811, 10490026
114	acrocallosal syndrome			
115	ATP citrate lyase	ATPCL, CLATP, ACL		1371749, 8088842
19288	aminocarboxymuconate semialdehyde decarboxylase			12140278
21752	ACN9 homolog (S. cerevisiae)	DC11		
117	aconitase 1, soluble	IRP1, IREBP		2172968, 2771641
118	aconitase 2, mitochondrial	ACONM		10591208
33128	acyl-CoA thioesterase 1	ACH2, CTE-1, LACH2		16103133, 16940157
18431	acyl-CoA thioesterase 2	Mte1, ZAP128	"mitochondrial acyl-CoA thioesterase 1"	16103133, 16940157
19748	acyl-CoA thioesterase 4	FLJ31235, PTE-Ib, PTE2B		16103133, 16940157
33159	acyl-CoA thioesterase 6			16940157
24157	acyl-CoA thioesterase 7	BACH, ACH1, ACT, CTE-II, LACH1, MGC1126, hBACH	"brain acyl CoA hydrolase"	10578051, 16103133, 16940157
15919	acyl-CoA thioesterase 8	hACTE-III, hTE, PTE-2		10092594, 9153233, 16103133, 16940157
17152	acyl-CoA thioesterase 9	CGI-16, MT-ACT48, ACATE2		10383425, 10810093, 16103133, 16940157
18156	acyl-CoA thioesterase 11	STARD14, BFIT, KIAA0707, BFIT1, THEM1	"StAR-related lipid transfer (START) domain containing 14"	11696000, 16103133, 16940157
24436	acyl-CoA thioesterase 12	Cach, THEAL, STARD15	"StAR-related lipid transfer (START) domain containing 15"	16103133, 16940157
20999	acyl-CoA thioesterase 13	HT012		16934754, 19405909
119	acyl-Coenzyme A oxidase 1, palmitoyl	PALMCOX		8159712
120	acyl-Coenzyme A oxidase 2, branched chain	BRCACOX, BRCOX		8943006, 9070889
121	acyl-Coenzyme A oxidase 3, pristanoyl			9271077
25621	acyl-Coenzyme A oxidase-like	FLJ11042		
122	acid phosphatase 1, soluble			
123	acid phosphatase 2, lysosomal			975882
124	acid phosphatase 5, tartrate resistant			8449511, 2338077
29609	acid phosphatase 6, lysophosphatidic	LPAP, ACPL1		12010880, 10506173
26303	acid phosphatase-like 2	FLJ23751		
125	acid phosphatase, prostate	ACP3, ACP-3		
14376	acid phosphatase, testicular			11414767
126	acrosin		"preproacrosin"	2298447, 12398221
17195	acrosin binding protein	SP32, OY-TES-1, CT23	"proacrosin binding protein sp32", "cancer/testis antigen 23"	11248070
15805	acidic repeat containing			
127	acrosomal vesicle protein 1	SPACA2, SP-10, D11S4365	"sperm protein 10"	1693291, 8288254
29567	acyl-CoA synthetase bubblegum family member 1	BGM, FLJ30320, MGC14352, BG1, KIAA0631, hBG1, hsBG	"bubblegum", "very long-chain acyl-CoA synthetase", "lipidosin"	9734811, 10954726
24174	acyl-CoA synthetase bubblegum family member 2	BGR, PRTD-NY3, DKFZp434K1635	"bubblegum related protein"	11230166
26101	acyl-CoA synthetase family member 2	FLJ20920, ACSMW		17762044
27288	acyl-CoA synthetase family member 3			17762044
3569	acyl-CoA synthetase long-chain family member 1	LACS2, LACS, ACS1, LACS1, FACL1	"lignoceroyl-CoA synthase", "long-chain fatty-acid-coenzyme A ligase 1"	2341402, 1531127
3570	acyl-CoA synthetase long-chain family member 3	ACS3, PRO2194		
3571	acyl-CoA synthetase long-chain family member 4	ACS4, LACS4	"lignoceroyl-CoA synthase", " long-chain fatty-acid-Coenzyme A ligase 4"	9480748, 12949969
16526	acyl-CoA synthetase long-chain family member 5	ACS5, ACS2	"FACL5 for fatty acid coenzyme A ligase 5", "long-chain acyl-CoA synthetase 5", "long-chain fatty acid coenzyme A ligase 5", "fatty-acid-Coenzyme A ligase, long-chain 5"	11127823
16496	acyl-CoA synthetase long-chain family member 6	KIAA0837, ACS2, LACS5, LACS2		10502316, 10548543
18049	acyl-CoA synthetase medium-chain family member 1	MACS1		11470804, 12654705
32017	acyl-CoA synthetase medium-chain family member 2A	A-923A4.1, MGC150530		
30931	acyl-CoA synthetase medium-chain family member 2B	HXMA, HYST1046	"xenobiotic/medium chain fatty acid:CoA ligase"	12616642
10522	acyl-CoA synthetase medium-chain family member 3	SA		7843754, 7907320, 11470804
32016	acyl-CoA synthetase medium-chain family member 4		"similar to olfactory specific medium-chain acyl CoA synthetase"	17762044
26060	acyl-CoA synthetase medium-chain family member 5	FLJ20581		17762044
16091	acyl-CoA synthetase short-chain family member 1	dJ568C11.3, AceCS2L, MGC33843		
15814	acyl-CoA synthetase short-chain family member 2	ACS, ACSA, AceCS, dJ1161H23.1		10843999
24723	acyl-CoA synthetase short-chain family member 3	FLJ21963		17762044
129	actin, alpha 1, skeletal muscle			10072583, 6865942
130	actin, alpha 2, smooth muscle, aorta	ACTSA		2398629
132	actin, beta			1505215
17780	actin, beta-like 2	DKFZp686D0972		
134	actin, beta pseudogene 1	CR619662		3837182
135	actin, beta pseudogene 2			3837182
136	actin, beta pseudogene 3			3837182
137	actin, beta pseudogene 4			3837182
138	actin, beta pseudogene 5			3837182
139	actin, beta pseudogene 6			
140	actin, beta pseudogene 7			6296793, 6571702
141	actin, beta pseudogene 8	ACTBP2		6296793
142	actin, beta pseudogene 9			8941379
31819	actin, beta pseudogene 10			
33971	actin, beta pseudogene 11			
150	actin, beta pseudogene 12			
143	actin, alpha, cardiac muscle 1	CMD1R		1639426
144	actin, gamma 1			14684684
146	actin, gamma 1 pseudogene 1			
147	actin, gamma 1 pseudogene 2			
148	actin, gamma 1 pseudogene 3			8941379
149	actin, gamma 1 pseudogene 4			1692956
151	actin, gamma 1 pseudogene 6			1692956
152	actin, gamma 1 pseudogene 7			1692956
153	actin, gamma 1 pseudogene 8			1692956
154	actin, gamma 1 pseudogene 9			
155	actin, gamma 1 pseudogene 10			6592095
37651	actin, gamma 1 pseudogene 11			
145	actin, gamma 2, smooth muscle, enteric	ACTSG		1710027, 1673027
158	actin-like 4			
159	actin-like 5	ACTFIB		1406950
24124	actin-like 6A	Actl6, BAF53A, Arp4, Baf53a, INO80K	"BAF complex 53 kDa subunit", "BRG1-associated factor", "actin-related protein 4", "INO80 complex subunit K"	9845365, 10380635
160	actin-like 6B	BAF53B		9799793
161	actin-like 7A			10373328
162	actin-like 7B	Tact1		10373328, 12907721
24018	actin-like 8	CT57	"cancer/testis antigen 57"	
28494	actin-like 9	MGC33407		
163	actinin, alpha 1			2349951
164	actinin, alpha 2			1339456
165	actinin, alpha 3			1339456
166	actinin, alpha 4			
167	ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)	ARP1		1528266
168	ARP1 actin-related protein 1 homolog B, centractin beta (yeast)			7696711, 10343100
169	ARP2 actin-related protein 2 homolog (yeast)	ARP2		9230079
170	ARP3 actin-related protein 3 homolog (yeast)	ARP3		9230079
17256	ARP3 actin-related protein 3 homolog B (yeast)	ARP11, ARP3beta		10806390
37282	ARP3 actin-related protein 3 homolog C (yeast)	ARP11		11162478, 14651955
31820	ARP3 actin-related protein 3 homolog (yeast) pseudogene 1			
14671	ARP5 actin-related protein 5 homolog (yeast)	FLJ12785, Arp5, INO80M	"INO80 complex subunit M"	16230350
24025	ARP6 actin-related protein 6 homolog (yeast)	ARP6, FLJ13433		11368909
14672	ARP8 actin-related protein 8 homolog (yeast)	INO80N	"INO80 complex subunit N"	18163988, 16230350
17372	actin-related protein 10 homolog (S. cerevisiae)	HARP11, ACTR11, Arp11		12857853
24027	actin-related protein T1	AIP1, KIAA0705, ARIP1, Arp-T1		12243744
24026	actin-related protein T2	Arp-T2, ARPM2, FLJ25424		11750065, 12243744
171	activin A receptor, type I	SKR1, ALK2, ACVR1A		8397373
172	activin A receptor, type IB	ALK4, SKR2, ActRIB		8397373
18123	activin A receptor, type IC	ALK7, ACVRLK7		
173	activin A receptor, type IIA	ACTRII		1314589, 10702675
174	activin A receptor, type IIB	ActR-IIB		8161782, 9621519
175	activin A receptor type II-like 1	HHT2, ALK1, HHT		8397373, 8640225
177	aminoacylase 1			1707030, 6948533
24104	aspartoacylase (aminocyclase) 3	HCBP1, MGC9740, ACY-3		14656720
179	acylphosphatase 1, erythrocyte (common) type			7796909, 9730610
180	acylphosphatase 2, muscle type			8268218
185	Alzheimer disease 5			9333264, 10712207
186	adenosine deaminase			6198240, 6090454
30713	adenosine deaminase domain containing 1 (testis-specific)	Tenr		7543294, 9541871
30714	adenosine deaminase domain containing 2	TENRL, FLJ00337		
31853	adenosine deaminase-like			
187	ADAM metallopeptidase domain 1 (pseudogene)	FTNAP, PH-30a, Ftna, ADAM1P	"fertilin alpha"	9032439
198	ADAM metallopeptidase domain 2	PH-30b, PH30, CT15	"cancer/testis antigen 15"	8702389, 9070941
209	ADAM metallopeptidase domain 3A (cyritestin 1)	ADAM3, tMDCI		9502432, 11439107
210	ADAM metallopeptidase domain 3B (non-functional)		"cyritestin 2"	9284909, 9502432, 11439107
212	ADAM metallopeptidase domain 5 pseudogene	tMDCII, ADAM5		8786143, 10417343
213	ADAM metallopeptidase domain 6 (pseudogene)	tMDCIV		
214	ADAM metallopeptidase domain 7	GP-83, EAPI		
215	ADAM metallopeptidase domain 8	CD156, MS2		9126482
216	ADAM metallopeptidase domain 9 (meltrin gamma)	MDC9, KIAA0021, MCMP, Mltng		8647900
188	ADAM metallopeptidase domain 10	kuz, MADM, HsT18717, CD156c		9344679, 9441766
189	ADAM metallopeptidase domain 11		"metalloproteinase-like, disintegrin-like, cysteine-rich protein"	8252040
190	ADAM metallopeptidase domain 12	MCMPMltna, MLTN	"meltrin alpha"	9417060, 18342566
193	ADAM metallopeptidase domain 15	MDC15	"metargidin"	9516430
195	ADAM metallopeptidase domain 17	cSVP, CD156B		9034190, 9574564
196	ADAM metallopeptidase domain 18	tMDCIII, ADAM27		12200459
197	ADAM metallopeptidase domain 19 (meltrin beta)	MLTNB		9806848
199	ADAM metallopeptidase domain 20			9469942
200	ADAM metallopeptidase domain 21	ADAM31		9469942
19822	ADAM metallopeptidase domain 21 pseudogene			
201	ADAM metallopeptidase domain 22	MDC2	"metalloproteinase-like, disintegrin-like, and cysteine-rich protein 2"	9693107, 10524237
202	ADAM metallopeptidase domain 23	MDC3		9693107
206	ADAM metallopeptidase domain 28	eMDCII, MDC-Lm, MDC-Ls, ADAM23		
207	ADAM metallopeptidase domain 29	svph1, CT73	"cancer/testis antigen 73"	10644455
208	ADAM metallopeptidase domain 30	svph4		
15479	ADAM metallopeptidase domain 32			12568724
15478	ADAM metallopeptidase domain 33	DKFZp434K0521, dJ964F7.1		11814695
16299	ADAM-like, decysin 1	M12.219		9271581, 12037602
217	ADAM metallopeptidase with thrombospondin type 1 motif, 1	C3-C5, METH1, KIAA1346		10438512
218	ADAM metallopeptidase with thrombospondin type 1 motif, 2	ADAMTS-3, hPCPNI, PCINP, ADAM-TS2, NPI	"procollagen I N-proteinase", "procollagen N-endopeptidase"	10094461, 15373769
219	ADAM metallopeptidase with thrombospondin type 1 motif, 3	KIAA0366, ADAMTS-4		10094461
220	ADAM metallopeptidase with thrombospondin type 1 motif, 4	KIAA0688, ADAMTS-2, ADMP-1		10094461
221	ADAM metallopeptidase with thrombospondin type 1 motif, 5	ADMP-2, ADAMTS11	"aggrecanase-2"	10438522
222	ADAM metallopeptidase with thrombospondin type 1 motif, 6	ADAM-TS6	"a disintegrin and metalloproteinase with thrombospondin motifs 6"	10464288
223	ADAM metallopeptidase with thrombospondin type 1 motif, 7	ADAM-TS7, DKFZp434H204	"COMPase", "a disintegrin and metalloprotease with thrombospondin motifs-7 preproprotein"	10464288
224	ADAM metallopeptidase with thrombospondin type 1 motif, 8	METH2, FLJ41712, ADAM-TS8		10438512
13202	ADAM metallopeptidase with thrombospondin type 1 motif, 9	KIAA1312		10936055
13201	ADAM metallopeptidase with thrombospondin type 1 motif, 10	ADAM-TS10		
14605	ADAM metallopeptidase with thrombospondin type 1 motif, 12			11279086
1366	ADAM metallopeptidase with thrombospondin type 1 motif, 13	VWFCP, TTP, vWF-CP, FLJ42993, MGC118899, MGC118900, DKFZp434C2322		11557746, 11535495
14899	ADAM metallopeptidase with thrombospondin type 1 motif, 14			11779638
16305	ADAM metallopeptidase with thrombospondin type 1 motif, 15			11867212
17108	ADAM metallopeptidase with thrombospondin type 1 motif, 16	ADAMTS16s		11867212
17109	ADAM metallopeptidase with thrombospondin type 1 motif, 17	FLJ32769, FLJ16363		11867212
17110	ADAM metallopeptidase with thrombospondin type 1 motif, 18			11867212, 17546048
17111	ADAM metallopeptidase with thrombospondin type 1 motif, 19			11867212
17178	ADAM metallopeptidase with thrombospondin type 1 motif, 20	GON-1		12514189, 12562771
14632	ADAMTS-like 1	ADAMTSR1, FLJ35283	"punctin"	9628581, 11805097
14631	ADAMTS-like 2	KIAA0605		9628581, 14667842
14633	ADAMTS-like 3	KIAA1233, punctin-2		9628581, 10574462
19706	ADAMTS-like 4	DKFZP434K1772		12706885
27912	ADAMTS-like 5			
16486	ArfGAP with dual PH domains 1	GCS1L		10333475
16487	ArfGAP with dual PH domains 2			
225	adenosine deaminase, RNA-specific	ADAR1		7972084
226	adenosine deaminase, RNA-specific, B1 (RED1 homolog rat)	ADAR2, DRADA2, ADAR2g, DRABA2, RED1, hRED1, ADAR2a-L1, ADAR2a-L2, ADAR2a-L3, ADAR2a, ADAR2b, ADAR2c, ADAR2d		9143496, 14759252
227	adenosine deaminase, RNA-specific, B2 (RED2 homolog rat)	RED2, hRED2, ADAR3		9272162, 10836796
228	adenosine deaminase, tRNA-specific 1			10430867
21172	adenosine deaminase, tRNA-specific 2, TAD2 homolog (S. cerevisiae)	dJ20N2.1, TAD2	tRNA-specific adenosine deaminase 2 homolog (S. cerevisiae)	12457566
